n,type,avg_time_micro
16400,nearly,1501.8
16500,random,2573.4
16500,reversed,1487
16500,nearly,1496.8
16600,random,2540.4
16600,reversed,1451.4
16600,nearly,1482.4
16700,random,2496.8
16700,reversed,1450
16700,nearly,1495.8
16800,random,2536.4
16800,reversed,1490.8
16800,nearly,1525.8
16900,random,2661.6
16900,reversed,1508.8
16900,nearly,1526.4
17000,random,2667
17000,reversed,1523.4
17000,nearly,1578.8
17100,random,2720.2
17100,reversed,1513.4
17100,nearly,1561
17200,random,2632.4
17200,reversed,1493.2
17200,nearly,1556.6
17300,random,2710.2
17300,reversed,1566.4
17300,nearly,1555.6
17400,random,2685.8
17400,reversed,1501
17400,nearly,1680.8
17500,random,2793
17500,reversed,1574
17500,nearly,1601.2
17600,random,2783.8
17600,reversed,1556.2
17600,nearly,1648.4
17700,random,2855
17700,reversed,1537
17700,nearly,1549
17800,random,2775.8
17800,reversed,1620.6
17800,nearly,1618.6
17900,random,2839.2
17900,reversed,1581.2
17900,nearly,1697.6
18000,random,2815.4
18000,reversed,1653.8
18000,nearly,1637.2
18100,random,2857.4
18100,reversed,1578
18100,nearly,1679
18200,random,2862.4
18200,reversed,1603.4
18200,nearly,1712
18300,random,2933.2
18300,reversed,1633.4
18300,nearly,1654.4
18400,random,2851.6
18400,reversed,1605.8
18400,nearly,1671.2
18500,random,2934.2
18500,reversed,1671.4
18500,nearly,1821.4
18600,random,3000
18600,reversed,1729.4
18600,nearly,1808.8
18700,random,3032.4
18700,reversed,1804.4
18700,nearly,1755.2
18800,random,2875.4
18800,reversed,1677.2
18800,nearly,1726.6
18900,random,2964
18900,reversed,1687
18900,nearly,1706.4
19000,random,2990.2
19000,reversed,1648.4
19000,nearly,1804.8
19100,random,3047.2
19100,reversed,1672.6
19100,nearly,1741
19200,random,3052.2
19200,reversed,1743.4
19200,nearly,1763.6
19300,random,3003.6
19300,reversed,1714.2
19300,nearly,1821.6
19400,random,3128.4
19400,reversed,1791.8
19400,nearly,1807.8
19500,random,3081.8
19500,reversed,1735.4
19500,nearly,1855.6
19600,random,3138
19600,reversed,1799.2
19600,nearly,1924.4
19700,random,3183.8
19700,reversed,1729
19700,nearly,1801.6
19800,random,3129.2
19800,reversed,1899.8
19800,nearly,1825.4
19900,random,3121
19900,reversed,1898.8
19900,nearly,1780.2
20000,random,3150.8
20000,reversed,1825.2
20000,nearly,1938.2
20100,random,3283.2
20100,reversed,1968.8
20100,nearly,1946.6
20200,random,3193.8
20200,reversed,1798
20200,nearly,1848
20300,random,3177.6
20300,reversed,1811.2
20300,nearly,1948.8
20400,random,3346.2
20400,reversed,1973.8
20400,nearly,2013.4
20500,random,3317
20500,reversed,1817
20500,nearly,1946.6
20600,random,3309
20600,reversed,1828.6
20600,nearly,2063.4
20700,random,3277.2
20700,reversed,1827.2
20700,nearly,1969.8
20800,random,3243.4
20800,reversed,1837.2
20800,nearly,1906.4
20900,random,3273.2
20900,reversed,1852.6
20900,nearly,1950.8
21000,random,3359.2
21000,reversed,1867.8
21000,nearly,1982.6
21100,random,3384.8
21100,reversed,1844.8
21100,nearly,1966
21200,random,3421.4
21200,reversed,1928.2
21200,nearly,1971.8
