n,type,avg_th5,avg_th10,avg_th20,avg_th30,avg_th50
6100,reversed,428.2,419.8,395,425.2,600.8
6100,nearly,323.8,323.8,308.6,292.6,294.2
6200,random,828.8,797.2,769,790,796.2
6200,reversed,420,395.6,381.8,429.4,603.2
6200,nearly,329.8,320,318.4,309.6,292.6
6300,random,836.8,797.4,772,770.8,847.4
6300,reversed,402.6,391.6,397.4,444.4,618
6300,nearly,331.8,320,314.8,306.8,289.4
6400,random,858.4,813.4,779.4,762.2,819
6400,reversed,412.2,407.8,397.4,443,640.2
6400,nearly,342.4,327.6,330.4,310.4,301
6500,random,893,832.6,803.6,816.8,806.6
6500,reversed,448.2,426.4,406.4,462.8,500.2
6500,nearly,343.4,341,326.4,333,318.6
6600,random,892.2,848.8,816.8,808.8,820.6
6600,reversed,427,427.4,434.6,526.6,525.2
6600,nearly,356.4,353.4,348,322.6,323
6700,random,893.4,857.2,813.4,796.4,799.6
6700,reversed,457.8,434.8,427.8,487.4,482.2
6700,nearly,349.4,342.6,340.8,324.8,327.8
6800,random,907.6,864.8,828,831.6,823.4
6800,reversed,440.4,426.2,428.6,486.4,522.8
6800,nearly,376.2,364.2,352.4,344,338.4
6900,random,942.6,899.2,873,843.6,842
6900,reversed,463.6,436.8,445.4,506.8,518.2
6900,nearly,367.4,365,353.8,340.8,338.2
7000,random,951.8,896,874.8,877.2,846.2
7000,reversed,461.6,435.6,436,513.4,500
7000,nearly,376.4,365.4,360,347,359.4
7100,random,960.6,902,869.8,880.4,860.2
7100,reversed,459.4,444,449.6,523.8,518.8
7100,nearly,382.4,380.6,375.6,367,366
7200,random,960.4,943,907.4,914.4,930.2
7200,reversed,468,453.2,470.6,554.6,531.6
7200,nearly,392.6,382.8,384.8,370.4,370.2
7300,random,994.4,941.4,914.6,936.8,933.6
7300,reversed,484.6,479.2,478.8,594,578.2
7300,nearly,379.6,367.6,361,364.8,349.2
7400,random,995.6,942,925.4,938.8,922.8
7400,reversed,478.8,466.2,479.4,589,592
7400,nearly,393.8,384.2,384.2,365.4,368.2
7500,random,1009.8,961.6,927,928.6,924.6
7500,reversed,488.2,476.4,477.6,559.2,563.8
7500,nearly,402.4,399.2,381.6,377.8,374.4
7600,random,1045.8,982,954,989.8,954.8
7600,reversed,541.2,524.2,521,585,594
7600,nearly,421.4,423.6,410,398.4,394.4
7700,random,1050.8,994.4,987,945.4,942.2
7700,reversed,524.8,495.6,489,573.4,579.2
7700,nearly,421.8,418.2,406.8,392.8,398.4
7800,random,1043,996,967.4,977,986.6
7800,reversed,510.4,497.8,518.2,557.2,587.6
7800,nearly,436,428,419.4,412.4,402.2
7900,random,1079.8,1030,998.4,992.6,1015.8
7900,reversed,540,506.6,526.2,538.4,646.2
7900,nearly,445.2,434,434.6,426.4,419.4
8000,random,1104.8,1032.2,1019.6,1016.2,1021.8
