n,type,avg_th5,avg_th10,avg_th20,avg_th30,avg_th50
34200,random,5425.2,5103.6,4963.2,5234.6,5220.6
34200,reversed,2726.4,2680.4,2977.6,3677.6,3608.6
34200,nearly,2345.6,2371.4,2301.2,2317,2261.6
34300,random,5566.8,5330.8,5190.8,5297.2,5176
34300,reversed,2698.8,2620,2669.6,2708.6,3193
34300,nearly,2320.8,2286,2231.8,2243.2,2168.4
34400,random,5405.4,5164,5044.8,5059,5037.2
34400,reversed,2650.6,2552.6,2588,2574.4,3105
34400,nearly,2315.6,2330,2279.2,2258.8,2201.6
34500,random,5442,5160.4,4997,4966,5095.6
34500,reversed,2695.8,2567.2,2575.2,2594.6,3123.4
34500,nearly,2365.6,2336,2305.4,2307.2,2209.6
34600,random,5446.6,5206.8,5055.8,5053,5088.6
34600,reversed,2768.2,2765.6,2757.2,2764.2,3269.2
34600,nearly,2342.2,2335.4,2312.8,2252.2,2176
34700,random,5468,5167.2,5007.8,4976.4,5035.8
34700,reversed,2747.8,2619.4,2607.8,2588.8,3140.2
34700,nearly,2361.8,2440,2360.2,2325,2155.4
34800,random,6014.6,6045.8,5076,5006.6,5060.6
34800,reversed,2733.4,2636.6,2640.6,2616.4,3431.2
34800,nearly,2414.8,2328.8,2300.6,2243.4,2186.4
34900,random,5568,5214.4,5022.8,5026.4,5049.4
34900,reversed,2631.2,2576.6,2614.2,2678.4,3160.8
34900,nearly,2403.2,2372.8,2341,2289.2,2218.4
35000,random,5490,5214.8,5030.8,5014,5070.8
35000,reversed,2749.2,2606.2,2628.6,2619.2,3171.8
35000,nearly,2381,2340.2,2262,2254.8,2197.8
35100,random,5501.8,5259,5086.6,5093.4,5177.6
35100,reversed,2734.4,2597.8,2628.6,2627.8,3194
35100,nearly,2341,2369.4,2269,2266,2218.4
35200,random,5562,5258.2,5096.8,5091,5178.2
35200,reversed,2703.8,2642.6,2680,2675.8,3238.4
35200,nearly,2414.4,2382.6,2358.6,2361,2302.8
35300,random,5548.6,5247.2,5116.4,5069.2,5115
35300,reversed,2773.4,2707.8,2752.2,2746.6,3307.6
35300,nearly,2338.6,2381.8,2359.4,2350.4,2291.2
35400,random,5577.4,5291.4,5182.8,5188.8,5209.4
35400,reversed,2882,2751.2,2710.2,2678.8,3262.4
35400,nearly,2436,2412,2366.4,2369.8,2308.8
35500,random,5583,5324,5135,5087.2,5156.2
35500,reversed,2798.2,2676,2696.6,2712.8,3315.8
35500,nearly,2383.6,2364.4,2337,2308.2,2287.8
35600,random,5673.8,5332,5187.2,5216.6,5220.8
35600,reversed,2743,2646.6,2723.8,2705.8,3288.8
35600,nearly,2414.2,2342.4,2300.4,2302.8,2247.4
35700,random,5632.8,5296.2,5150.8,5133,5200.4
35700,reversed,2846.8,2652.6,2680,2692.6,3282.8
35700,nearly,2465.8,2448,2402.2,2404.4,2340.2
35800,random,5626.2,5355.4,5182.8,5176.8,5376.4
35800,reversed,2769.2,2707.2,2745.2,2750.8,3333.6
35800,nearly,2489.8,2402.8,2363.4,2365.4,2254.2
35900,random,5706.8,5439.4,5239.8,5230.8,5264.2
35900,reversed,2912.2,2770,2801.4,2703.2,3311
35900,nearly,2485,2483.8,2499.6,2432,2374.2
36000,random,5761.2,5398.2,5189.6,5241,5433.2
36000,reversed,2758.6,2700.2,2800.8,2794.6,3512.4
36000,nearly,2417.2,2387.4,2333.4,2331.4,2268.6
36100,random,5646.4,5425.4,5282.6,5269.6,5276.6
36100,reversed,2932.2,2743.6,2742.2,2707.4,3326.6
36100,nearly,2505.4,2399.2,2355.8,2349.2,2291.8
36200,random,5707.2,5403.2,5218.4,5372.8,5378.6
36200,reversed,2752.2,2686,2743,2741.4,3350.4
36200,nearly,2503.2,2493,2532.8,2509.8,2477
36300,random,5707.2,5440.8,5228.8,5229.8,5294.8
36300,reversed,2876.2,2735,2804.8,2739.6,3362.6
36300,nearly,2508.2,2448.2,2381.2,2389,2325
36400,random,5705.6,5420.2,5275.8,5220,5308
36400,reversed,2748.8,2686.8,2743.8,2752.4,3368.6
36400,nearly,2524.8,2460.6,2367,2373,2313.6
36500,random,5711.8,5453.4,5270.8,5310.4,5516.8
36500,reversed,2882.6,2879.4,2898.8,2863.8,3506.6
36500,nearly,2503.6,2558.4,2537.2,2528,2435
36600,random,5909.6,5677.6,5545.2,5527.8,5465.4
36600,reversed,2887.8,2863,2845,2793.4,3435.2
36600,nearly,2457.8,2438.8,2468,2467.8,2361.2
36700,random,5715.8,5482.6,5384.6,5326.6,5370
36700,reversed,2964.2,2721.4,2821.4,2805.8,3419.2
36700,nearly,2554.6,2450.8,2381.2,2384,2319.2
36800,random,5760.4,5529,5440,5329.8,5453.4
36800,reversed,2886.6,2831.6,2890.8,2796.4,3422
36800,nearly,2532.2,2513.8,2445.8,2390.8,2339.8
36900,random,5761.8,5521.2,5344.4,5321.6,5413.6
36900,reversed,2817,2742.8,2852.2,2967,3597.2
36900,nearly,2509,2424.4,2384.8,2384,2321.4
37000,random,5772.6,5532.6,5457.8,5410.8,5420.8
37000,reversed,2832.8,2739.6,2804.4,2823.2,3468.2
37000,nearly,2453.2,2428.8,2381.8,2430.6,2408.4
37100,random,5811,5573,5459.4,5467.6,5614.2
37100,reversed,2822,2758,2857,2856,3492.4
37100,nearly,2446.2,2418.4,2373,2377,2327
37200,random,5761.8,5549,5410.8,5399.6,5431.6
37200,reversed,2954.8,2886,2897.4,2808.2,3479.8
37200,nearly,2579.8,2578.2,2506.6,2508.6,2449.2
37300,random,5848.8,5601.4,5459,5364.8,5466.4
37300,reversed,2824,2769.6,2887.2,2861.8,3500.8
37300,nearly,2569.4,2541.8,2498.4,2507.6,2421.4
37400,random,5949.4,5774.6,5503.4,5470.6,5526.6
37400,reversed,2926.2,2841.8,2969,2903.4,3528.8
37400,nearly,2518.4,2471.8,2478.6,2420.8,2417.8
37500,random,5886.2,5572.6,5396,5394.2,5494.4
37500,reversed,2878.4,2777,2933,2859,3563.2
37500,nearly,2570.4,2563,2491.6,2468.4,2442.8
37600,random,5825,5615,5473.8,5467,5526
37600,reversed,2991.6,2803.2,2869.4,2865.6,3566
37600,nearly,2626.4,2616,2562.8,2506.4,2438.4
37700,random,5874,5664.8,5607.4,5584.4,5810
37700,reversed,2996.8,2812.8,2979,2930.4,3575.8
37700,nearly,2617,2898.6,2619.8,2530.2,2508.8
37800,random,6117,5969.2,5926.2,5767.4,6600
37800,reversed,4481,2912.2,2992.6,2991.8,3680.6
37800,nearly,2644.4,2606.2,2585.4,2569.4,2489.8
37900,random,6035,5670.8,5524.8,5522.4,5744.8
37900,reversed,2996.8,2943,2960.6,2892.8,3607.4
37900,nearly,2571,2536,2497,2614.2,2512
38000,random,5939.6,5726.4,5639,5596.2,5668.8
38000,reversed,2878.2,2841.6,3130.6,3003.4,3710.2
38000,nearly,2604.6,2498.4,2452,2455,2395.2
38100,random,5953.2,5766.2,5791.6,5902.4,6043.6
38100,reversed,3165,3005.4,3044.4,2939.4,3629.6
38100,nearly,2611,2609,2557.6,2544.4,2524.6
38200,random,5925,5691.6,5524.6,5498.2,5778
38200,reversed,3093.8,2887.8,2972.2,2909.4,3636
38200,nearly,2559,2536.4,2602.4,2495.8,2447.8
38300,random,5981.8,5720.2,5609.6,5585.8,5699.2
38300,reversed,2977.8,2843.6,2980.8,2939.4,3686
38300,nearly,2603.6,2518.8,2465,2481.8,2447.4
38400,random,6043.4,5789.6,5650,5663.2,5738.6
38400,reversed,3105.8,3020.4,3012.4,2957,3686
38400,nearly,2632.2,2533.6,2479,2489.2,2419
38500,random,6022.8,5758.4,5617,5656.4,5941
38500,reversed,3032.6,2891.6,3027.6,2974,3707.2
38500,nearly,2740.6,2670.6,2611.8,2550.6,2475
38600,random,6044.6,5798,5646.8,5809.2,6055
38600,reversed,3083,2936.8,3020,2958.6,3697.4
38600,nearly,2698.4,2578.8,2524.4,2519.4,2459.4
38700,random,6058.6,5827.8,5788.8,5666.4,5755.4
38700,reversed,2993.2,2955,2991,2958.6,3789
38700,nearly,2705,2682.4,2634.2,2623,2584.6
38800,random,6042.8,5796.2,5628.8,5611.6,5725.6
38800,reversed,3140.2,2915.6,3035,2998.8,3767.2
38800,nearly,2722.2,2639,2548.6,2543,2637.2
38900,random,6106.6,5879.6,5749.2,5685.4,5763.6
38900,reversed,2963.4,2901,2987.6,3071,3858.2
38900,nearly,2710.8,2699,2590.2,2656,2535.8
39000,random,6087.2,5879,5733,5689.2,5906.6
39000,reversed,3129.4,2926.4,3078.4,3072,3876.8
39000,nearly,2724.2,2669.4,2647.6,2663.8,2591.4
39100,random,6111.8,5887.6,5765,5634.4,6084.6
39100,reversed,3125.8,2934.6,3018.6,3006.8,3788.6
39100,nearly,2671.8,2780.8,2556.8,2614.4,2587.8
39200,random,6146.2,5874,5714.8,5729.2,5908.2
39200,reversed,3136.4,3068,3108,3052.6,3823.6
39200,nearly,2749.2,2731.2,2550.6,2692.2,2583.4
39300,random,6130.6,5874.8,5730.2,5694,5801
39300,reversed,3174.4,2945,3044.8,3049.6,3825
39300,nearly,2742.2,2712.2,2628.8,2580.6,2555.2
39400,random,6152.6,5928.6,5742,5737.6,5865.4
39400,reversed,3216.2,3239,3241,3150.2,3853.6
39400,nearly,2683.6,2612.4,2563.2,2662.8,2589.6
39500,random,6151.2,5923.4,5848.8,5892.6,6059.4
39500,reversed,3016.8,2926.4,3026.4,3027.8,3825.4
39500,nearly,2750.8,2739.2,2681,2683,2624
39600,random,6182.4,5958.8,5871.4,5842.6,6127.6
39600,reversed,3123.4,3031,3127.2,3101,3895.8
39600,nearly,2713.8,2697.4,2582.6,2554.4,2486.8
39700,random,6206.4,5976,5831.8,5815.8,5936.6
39700,reversed,3150.2,3009.4,3116.8,3120.2,3913
39700,nearly,2669.6,2631.2,2581,2574.8,2539.8
39800,random,6229.8,6030.6,5974.4,5948.8,6293
39800,reversed,3198.6,3140.2,3163,3180.2,3973.6
39800,nearly,2878,2837.8,2766.6,2712.4,2607.4
39900,random,6247.8,5996,5848.8,5817.2,6054
39900,reversed,3087.4,2993.4,3161.8,3160,3880.6
39900,nearly,2669.8,2657.8,2620.4,2666.4,2614.2
40000,random,6247.8,6001.2,5835.8,5851.4,5984
40000,reversed,3210.6,3168,3128.4,3079.6,3906.2
40000,nearly,2771,2755,2696.6,2630.4,2536
40100,random,6280.4,6068.4,5933,5835,5939.4
40100,reversed,3088,2979.8,3088.2,3085.2,3914.6
40100,nearly,2793.6,2761.4,2712.4,2705.6,2675.2
40200,random,6324.2,6090.8,6022,5846.4,5954.6
40200,reversed,3113,3036.2,3115.4,3109.8,3962.8
40200,nearly,2806,2769.6,2718.2,2716.2,2654.6
40300,random,6296.8,6078,5960.2,5822.2,5979.2
40300,reversed,3184.8,3122.8,3217.8,3127.2,3947.4
40300,nearly,2829.2,2809,2654.6,2644.4,2633.4
40400,random,6424.2,6025,5863.6,5848.8,5980.8
40400,reversed,3185.2,3151,3138.2,3123.8,4011.4
40400,nearly,2719.6,2734.8,2733.6,2738.2,2682.2
40500,random,6310,6077.4,5996.6,5855,6126.8
40500,reversed,3285.8,3170.2,3207,3132.8,3997.6
40500,nearly,2862.8,2714,2652.4,2654.8,2595.6
40600,random,6343.8,6084.6,6020,6481.6,6211.8
40600,reversed,3096.8,3131.4,3250.6,3172,4017
40600,nearly,2877.6,2834.2,2775.8,2736.6,2665
40700,random,6558,6308,6136,6138.8,6301.4
40700,reversed,3205.8,3158.2,3290.8,3282.2,4149
40700,nearly,2856,2764.2,2715.4,2707,2718.8
40800,random,6514,6222.6,6070.4,5969,6071.4
40800,reversed,3144.2,3137,3195,3186,4024
40800,nearly,2748,2765.6,2751,2659.8,2620.8
40900,random,6389.4,6168.2,6166.8,5954,6073.2
40900,reversed,3193.4,3069,3196.2,3225,4049.8
40900,nearly,2832.4,2747.2,2709.6,2923.8,2717
41000,random,6369.8,6123.8,6205.8,5998.2,6112
41000,reversed,3241.4,3361,3240.6,3212.2,4078.2
41000,nearly,2868,2834.8,2943,2775.4,2711.4
41100,random,6419,6174.8,6100.2,6239,6113.2
41100,reversed,3164.2,3137.6,3214,3198.8,4074.4
41100,nearly,2812.6,2784,2737.2,2741.2,2748.2
41200,random,6641,6193,6088.2,6031,6298
41200,reversed,3284.8,3174.4,3198,3209,4085
41200,nearly,2899.6,2869.6,2820,2831.6,2649
41300,random,6476.2,6277.8,6109.8,6011.4,6152
41300,reversed,3232.6,3161.8,3355.8,3256,4200.2
41300,nearly,2892.6,2828.4,3039.4,2798,2644.4
41400,random,6498.2,6267.6,6170.6,6071.2,6312
41400,reversed,3309,3177.4,3207.4,3238.2,4119.2
41400,nearly,2830,2917.2,2849.8,2824.6,2737.6
41500,random,6509.4,6274,6333.6,6151,6335
41500,reversed,3213.8,3138.6,3205.8,3233.4,4135.4
41500,nearly,2986.4,2886.8,2849.2,2826.6,2741
41600,random,6584.8,6262.6,6135.6,6038.2,6204.6
41600,reversed,3303.6,3196.2,3265.2,3268.6,4277.8
41600,nearly,2954,2913.4,2921.4,2762.6,2679.4
41700,random,6545.2,6328.2,6186.4,6060.4,6212.4
41700,reversed,3196,3131.6,3262.2,3260.4,4163.8
41700,nearly,2946.4,2913.2,2876.2,2810.6,2669.4
41800,random,6571.6,6339.8,6194.6,6144.4,6238
41800,reversed,3248,3238.6,3282,3344,4196.4
41800,nearly,2938.8,2910.2,2880,2877.6,2695.8
41900,random,6586.6,6386.2,6284.8,6153.4,6245.6
41900,reversed,3225.8,3168.6,3219.8,3269.8,4219.2
41900,nearly,2940.6,2900.2,2872,2875.8,2782.8
42000,random,6605.8,6389,6217.6,6128.8,6290.2
42000,reversed,3405.2,3291.6,3278,3342.6,4272.2
42000,nearly,2954.8,2838.6,2834.8,2845.6,2788.2
42100,random,6635,6412.4,6272,6142,6303
42100,reversed,3259.8,3159.6,3217.2,3291.6,4248.2
42100,nearly,2914.4,2891.4,2783.4,2754.4,2784.4
42200,random,6644,6468,6348.8,6166.8,6324.8
42200,reversed,3455.2,3364.8,3270.8,3339.6,4274.2
42200,nearly,2872.4,2853.6,2861,2867.8,2780.4
42300,random,6681.6,6463.6,6343.2,6182,6351
42300,reversed,3276,3225.4,3286.4,3381.2,4313.4
42300,nearly,2969.2,2844.6,2820,2767.6,2779
42400,random,6671.6,6474,6302.8,6299.4,6482.2
42400,reversed,3462.2,3250.4,3270.8,3433.8,4324
42400,nearly,2985.8,2937.2,2846.8,2796,2725.6
42500,random,6699.8,6492.4,6415.4,6303.8,6445.8
42500,reversed,3349.6,3294.6,3315.6,3411.4,4366.8
42500,nearly,3012,2979.2,2956.8,2939.4,2826.6
42600,random,6725.8,6524.4,6369.8,6256,6431
42600,reversed,3447.8,3320.6,3309.8,3412.8,4369.8
42600,nearly,3002.4,2918.4,2908.4,2896.2,2836.2
42700,random,6760.8,6550,6430.2,6229,6414
42700,reversed,3569.2,3472,3285.2,3357.8,4328.6
42700,nearly,2916.8,2927,2867,2869.6,2740.8
42800,random,6782.8,6568.6,6489.6,6287,6442.2
42800,reversed,3348.2,3276.4,3240.4,3384.8,4363.4
42800,nearly,2964.6,2897.6,2883.8,2826.4,2755
42900,random,6787,6638.6,6462.2,6273.4,6447.2
42900,reversed,3340.4,3246.2,3229.4,3376.8,4364.6
42900,nearly,3031,3002,2997.8,2990,2853
43000,random,6817,6626.2,6450,6335,6505.8
43000,reversed,3491,3335,3277.6,3444.2,4408.6
43000,nearly,3061.8,2975.8,2901.8,2833.8,2767.6
43100,random,6832.8,6670.8,6486.8,6431.2,6470.4
43100,reversed,3558,3464.8,3413.8,3446.8,4390.6
43100,nearly,3081.8,3061.2,3069.2,3005.6,2824.2
43200,random,6831.4,6653.8,6492.4,6337.4,6516.4
43200,reversed,3522,3425.4,3295.4,3467.8,4466.6
43200,nearly,3111.8,3045.2,3028,2959.8,2879
43300,random,6866,6694,6481.2,6320.2,6500.8
43300,reversed,3381.6,3301.6,3253.8,3436.6,4443.2
43300,nearly,3077,3048.8,3030.2,2992.6,2899.8
43400,random,6902.6,6739.4,6530.2,6373.8,6586.6
43400,reversed,3535.6,3334.4,3268.2,3468.2,4440
43400,nearly,3064.8,2959.2,2937.4,2875.4,2808.2
43500,random,6911.8,6755.2,6515.6,6334.4,6535
43500,reversed,3378.2,3338,3286.2,3468.2,4467.6
43500,nearly,3034.2,2988.2,2939.8,2907,2804.4
43600,random,6962.6,6751,6531.8,6387.6,6599.2
43600,reversed,3477.2,3414.8,3325.6,3490.2,4523.6
43600,nearly,3152.8,3120.2,3043.4,2997.8,2907.8
43700,random,6952.6,6796.2,6609,6442.4,6661.8
43700,reversed,3549.8,3381.4,3342.8,3522.6,4534.4
43700,nearly,3127.4,3114.6,3090.4,2987.6,2947.2
43800,random,7000,6822.4,6621.6,6475.4,6653.6
43800,reversed,3672.4,3351.4,3336.8,3675.8,4751.4
43800,nearly,3138,2997.6,2962.2,2905.6,2818
43900,random,7006,6857,6619,6430.6,6627
43900,reversed,3500,3391.8,3332.8,3517.8,4571.8
43900,nearly,3009.6,2982.8,2945.6,2921.8,2799.6
44000,random,7017.4,6866.6,6623,6485.6,6671.2
44000,reversed,3677.2,3375.4,3338.6,3604,4532
44000,nearly,3024.2,3012.6,3001.4,2914.4,2829.6
44100,random,7051.2,6891.2,6651.2,6594.8,6744.2
44100,reversed,3488.2,3424.2,3364.2,3546.6,4595.4
44100,nearly,3135.4,3161,3135.6,3054.6,2998.4
44200,random,7060.8,6896.4,6609,6514,6703.2
44200,reversed,3469,3373.4,3340.2,3530.8,4587.4
44200,nearly,3165.6,3053.6,3002.8,2962.4,2845.6
44300,random,7086.6,6943.6,6645.6,6486.8,6676
44300,reversed,3512.8,3415.2,3341,3521,4589.4
44300,nearly,3026.2,3019.6,2965.8,2945.6,2989
44400,random,7342.8,7151.4,6934.4,6805,7018.6
44400,reversed,3656,3511.6,3454.4,3730.8,4812.2
44400,nearly,3191,3148.4,3190.8,3063,2935.6
44500,random,7221.6,7081.6,6869.2,6638.2,6762.4
44500,reversed,3567,3419.2,3351.2,3549.2,4628.4
44500,nearly,3070.8,3059.8,3018.4,2958,2875.6
44600,random,7133.8,7004.4,6756.6,6583,6782.6
44600,reversed,3558,3448,3385.2,3602.6,4693.2
44600,nearly,3202.2,3171.2,3078.4,3012,2875
44700,random,7161.4,7002,6777.8,6599,6808.4
44700,reversed,3597.4,3422.2,3373,3667,4657.2
44700,nearly,3069.8,3050.2,3020.6,2967.2,2882.8
44800,random,7174.6,7056.2,6735.8,6593.4,6784.4
44800,reversed,3484.2,3450,3361,3588.2,4689.8
44800,nearly,3203.6,3197.4,3148,3042.8,2919
44900,random,7201.8,7033.2,6786.8,6695,6964
44900,reversed,3552,3480.4,3417.2,3657.4,4749
44900,nearly,3142.4,3056.6,3076.4,3068.2,2976.8
45000,random,7200.6,7071.4,6716,6591.2,6845.6
45000,reversed,3490.2,3447,3389.2,3593.6,4708.2
45000,nearly,3188.2,3181,3131.4,3021.2,2889.2
45100,random,7231.6,7061.6,6807.8,6668.2,6913.4
45100,reversed,3639.2,3495.8,3441,3670.2,4790.4
45100,nearly,3143.2,3117,3044.6,2994.2,2906
45200,random,7244.6,7116.4,6881.2,6864.2,6963.6
45200,reversed,3589.2,3509.4,3451.4,3658,4779.8
45200,nearly,3124.4,3095,3048.6,3151.2,2978.4
45300,random,7276.2,7104.8,6861,6717.6,6954
45300,reversed,3606,3530.2,3485.2,3710.4,4761.6
45300,nearly,3243,3136.2,3076.8,3137.8,3025.8
45400,random,7276.6,7096.6,6853.4,6739.6,6967.6
45400,reversed,3780.2,3635.8,3582.8,3768.4,4805
45400,nearly,3249.2,3229.6,3115,3016.8,2943.8
45500,random,7352.4,7201.4,6867.2,6695.8,6929.8
45500,reversed,3899,3676.2,3581.4,3668.4,4809.8
45500,nearly,3241.6,3218.4,3107,3022.4,2932
45600,random,7321.8,7118,6792.6,6682.4,6912.2
45600,reversed,3575.6,3492.8,3446.2,3745.4,4826.2
45600,nearly,3274.6,3254,3203.6,3134.8,2968.6
45700,random,7345.8,7190.8,6829.4,6669.6,6928.6
45700,reversed,3606.8,3718.8,3484.4,3712.8,4809.4
45700,nearly,3271.6,3230,3102.6,3038.6,2946
45800,random,7369.6,7155.4,6902.8,6740.4,7008.6
45800,reversed,3665.8,3516.2,3428,3772.2,5010.8
45800,nearly,3274.2,3155.4,3109.4,3058.6,3064.8
45900,random,7396.6,7241.4,6917.4,6727.8,7028.6
45900,reversed,3683.6,3701.4,3583.6,3801.4,5081.2
45900,nearly,3308.6,3217.8,3127.4,7427.4,4883.6
46000,random,7796.8,7743.4,6963.8,6867.6,7128
46000,reversed,3619.4,3556,3492.4,3827.6,4902.4
46000,nearly,3310.2,3286.4,3260.2,3272.4,3156.2
46100,random,7417.6,7200.8,6941.2,6896.6,7013.4
46100,reversed,3728.2,3587.6,3533.4,3744.4,4957.8
46100,nearly,3542.2,3315.4,3291.6,3271.4,3417.6
46200,random,7822.4,7280.4,7274,6975,7097
46200,reversed,3632.2,3660,3565.2,3767.8,4955.8
46200,nearly,3529.4,4032.8,3932.2,3147.2,3097
46300,random,7489,7221.8,6953.6,6813.6,7238
46300,reversed,3714.6,3605,3497.6,3747.2,4934
46300,nearly,3336.6,3182.8,3194.2,3198.2,3074.2
46400,random,7507.6,7283,7035,6840.8,7100.4
46400,reversed,3710.8,3635.8,3557,3806.4,4940.2
46400,nearly,3287.4,3168.6,3149,3083.8,3035.6
46500,random,7514.4,7274.4,6990.4,6859.4,7117
46500,reversed,3837.2,3642.4,3571.8,3825.8,5001.2
46500,nearly,3324,3285.2,3207.4,3184,3109.4
46600,random,7526.6,7278.8,7026.2,6855.8,7151.2
46600,reversed,3873.6,3671.2,3612,3816.8,5023.8
46600,nearly,3238.8,3212.2,3277.2,3232.4,3120.4
46700,random,7539,7316,7035.4,6938.2,7168.6
46700,reversed,3655,3602.6,3531,3838.4,5597.4
46700,nearly,3352.8,3319.4,3323.8,3197,3037
46800,random,7571.4,7331,7055,6921.6,7216.4
46800,reversed,3912.4,3694.6,3631.6,3900.4,5104
46800,nearly,3253.4,3222,3216,3116.2,3028.2
46900,random,7590.6,7334.6,7079.2,6939.4,7217.2
46900,reversed,3778.4,3680.8,3617.2,3878.8,5115.8
46900,nearly,3247.8,3214.6,3352.8,3322.8,3151.6
47000,random,7644.2,7354,7088,6943.4,7219.4
47000,reversed,3664.2,3609,3543,3807.4,5063.4
47000,nearly,3257,3234,3215.2,3246.8,3069.6
47100,random,7604.4,7371.4,7106.6,6999.8,7261
47100,reversed,3743.2,3681.8,3651,3861.4,5112.4
47100,nearly,3346.8,3328.8,3268.6,3092,3103.8
47200,random,7640.6,7365.6,7101.6,6958,7267.6
47200,reversed,3919.4,3657,3563.8,3866.2,5080.2
47200,nearly,3257.8,3355.8,3303.2,3242.8,3120.4
47300,random,7667.2,7975,13150,7938.4,12284.6
47300,reversed,4768.2,3801.4,3634,3893.8,5168.6
47300,nearly,3314,3377.6,3333.2,3286,3198.6
47400,random,7684.8,7470,7157.8,7033.2,7263.2
47400,reversed,3768.6,3666.6,3578,3862,5111.8
47400,nearly,3450.2,3423,3365.4,3212.6,3075.4
47500,random,7710.8,7573.8,7114.6,6956.6,7266.8
47500,reversed,3803.6,3665.4,3599,3886.6,5138.2
47500,nearly,3425.2,3396.6,3375.4,3261.2,3166.6
47600,random,7751.8,7453,7180.2,7037.6,7319.6
47600,reversed,3831.8,3715.6,3644,3920.4,5205.2
47600,nearly,3314.4,3278,3259.8,3173.6,3077.8
47700,random,7755.2,7474,7182.4,7031,7298.2
47700,reversed,3768.6,3677.4,3764.8,4059.8,5351.2
47700,nearly,3525.6,3432.2,3386,3247.4,3141
47800,random,7938,7911.2,7463.6,7309.4,7635.8
47800,reversed,3851.2,3762.4,3672.4,3944.4,5268
47800,nearly,3460.8,3389.6,3327.6,3171.8,3132.2
47900,random,7785.6,7536.8,7297.2,7171.2,7363.4
47900,reversed,3999.4,3963.4,3877,3944.4,5220.2
47900,nearly,3452,3425.4,3332.6,3317.2,3222.6
48000,random,7814.6,7496.4,7266.4,7177.4,7405.2
48000,reversed,3876.2,3768,3746,3939.2,5225
48000,nearly,3457,3409,3372.8,3303.4,3215.6
48100,random,7817,7565.6,7349,7177,7502.6
48100,reversed,3754.2,3681.2,3682.6,3914.2,5227
48100,nearly,3341.4,3304,3349.4,3287.2,3154
48200,random,7823.2,7561.8,7326.8,7362,8018.8
48200,reversed,3966.8,3754,3756.6,4357,5820.8
48200,nearly,3373.2,3308,3313.8,3190.4,3099.2
48300,random,7826.2,7538,7274.2,7164,7507.4
48300,reversed,3830.6,3737,3696.6,4089.6,5327.4
48300,nearly,3488,3445.8,3390,3339,3256
48400,random,7885.6,7534.2,7380.6,7302.8,7539.4
48400,reversed,3948,3740.6,3734.2,4080.4,5555.2
48400,nearly,3438.6,3353.4,3456.8,3328,3141.6
48500,random,7870.4,7553.6,7278,7132,7526.2
48500,reversed,4938.2,3968.6,3722.4,4004.8,5389.4
48500,nearly,3392.2,3365.8,3460.2,3388.4,3171.8
48600,random,7881.8,7581,7276.4,7239.6,7492.2
48600,reversed,3945.6,3773.6,3691.6,3981.4,5327.6
48600,nearly,3493,3346,3373.2,3360,3285.8
48700,random,7930.8,7651.8,7423.2,7286,7613.6
48700,reversed,3908.6,3813,3790.8,4075.4,5441.6
48700,nearly,3411.2,3358.4,3383.8,3267.4,3178
48800,random,7922,7620.6,7346.4,7248,7650
48800,reversed,4132.8,3937.6,3759.2,4028.6,5384.4
48800,nearly,3489.4,3462,3401,3348.8,3435.8
48900,random,7985.6,7613.8,7342.2,7182.8,7544.6
48900,reversed,4094.8,3927.8,3752,4064.8,5384.6
48900,nearly,3524.6,3467.2,3403.8,3251.2,3164
49000,random,8100,7634.4,7410.6,7262,7584.6
49000,reversed,3942.2,3768,3737.6,4053.6,5421
49000,nearly,3508.8,3403.4,3491.4,3426.2,3342.8
49100,random,8008,7705.2,7469.4,7268,7763.8
49100,reversed,3908.8,3770.6,3718.2,4080.4,5423.8
49100,nearly,3420.6,3378.6,3428.2,3337.4,3320
49200,random,8024.4,7712.2,7484,7413,7630.4
49200,reversed,3927.2,3811.4,3780.8,4091.8,5483.4
49200,nearly,3651,3582.6,3578,3441,3350.2
49300,random,8095.8,7751.2,7416.4,7255.6,7708
49300,reversed,3885.6,3803.4,3980.6,4120.8,5462.2
49300,nearly,3472.8,3426,3424.8,3319.4,3218.2
49400,random,8084,7770.6,7672,7484.6,8021.4
49400,reversed,3994.6,3853.8,3839.2,4191.8,5556
49400,nearly,3568,3565.2,3509.8,3437.8,3332.2
49500,random,8097.8,7755.2,7442.6,7389,7659
49500,reversed,4037,3845.6,3756.4,4096.6,5523.8
49500,nearly,3542,3564.8,3524.6,3332,3262.8
49600,random,8120,7797,7512.4,7285,7643.6
49600,reversed,3901.4,3801.6,3758,4115,5520.2
49600,nearly,3523,3472.6,3414.4,3343,3236.4
49700,random,8697.6,9042.6,7466.6,7442.6,7708.8
49700,reversed,3937.8,3838,3782.4,4112.4,5534.2
49700,nearly,3461.6,3466,3528.8,3475.6,3344
49800,random,8154,7813.8,7600.2,7530,7740.4
49800,reversed,4012.4,3820.8,3906.8,4126.2,5542.8
49800,nearly,3617.4,3582,3474,3498.2,3283.6
49900,random,8120.2,7828.8,7623.8,7585.4,7994.2
49900,reversed,4143.2,4072,3862.6,4195.4,5604.8
49900,nearly,3622.8,3587.2,3485.8,3489,3415
50000,random,8131.8,7815.2,7631.4,7430.6,7904
50000,reversed,4204,3970.4,3911.6,4212.4,5606
50000,nearly,3642.2,3556.4,3493.2,3388,3288.6
50100,random,8147.2,7838.4,7543.2,7438,7782.4
