algorithm,dataset,size,comparisons,time_microseconds
string_mergesort_lcp,almost_sorted,200,1395,276
string_mergesort_lcp,random,300,3139,473
string_mergesort_lcp,reversed,300,1705,434
string_mergesort_lcp,almost_sorted,300,2269,436
string_mergesort_lcp,random,400,4376,658
string_mergesort_lcp,reversed,400,2371,585
string_mergesort_lcp,almost_sorted,400,2965,600
string_mergesort_lcp,random,500,5760,833
string_mergesort_lcp,reversed,500,3062,736
string_mergesort_lcp,almost_sorted,500,3526,773
string_mergesort_lcp,random,600,7261,1104
string_mergesort_lcp,reversed,600,3416,946
string_mergesort_lcp,almost_sorted,600,4476,1263
string_mergesort_lcp,random,700,8808,1308
string_mergesort_lcp,reversed,700,4403,1122
string_mergesort_lcp,almost_sorted,700,5104,1148
string_mergesort_lcp,random,800,10335,1495
string_mergesort_lcp,reversed,800,4926,1297
string_mergesort_lcp,almost_sorted,800,5974,1338
string_mergesort_lcp,random,900,11931,1699
string_mergesort_lcp,reversed,900,5703,1461
string_mergesort_lcp,almost_sorted,900,6646,1493
string_mergesort_lcp,random,1000,13490,1861
string_mergesort_lcp,reversed,1000,6367,1615
string_mergesort_lcp,almost_sorted,1000,7221,1650
string_mergesort_lcp,random,1100,15224,2088
string_mergesort_lcp,reversed,1100,7020,1806
string_mergesort_lcp,almost_sorted,1100,8065,1831
string_mergesort_lcp,random,1200,17000,2300
string_mergesort_lcp,reversed,1200,7135,1959
string_mergesort_lcp,almost_sorted,1200,9333,2028
string_mergesort_lcp,random,1300,18785,2518
string_mergesort_lcp,reversed,1300,7861,2145
string_mergesort_lcp,almost_sorted,1300,9855,2194
string_mergesort_lcp,random,1400,20486,2724
string_mergesort_lcp,reversed,1400,8678,2329
string_mergesort_lcp,almost_sorted,1400,11092,2399
string_mergesort_lcp,random,1500,22132,3382
string_mergesort_lcp,reversed,1500,9274,2664
string_mergesort_lcp,almost_sorted,1500,12071,2653
string_mergesort_lcp,random,1600,23994,3222
string_mergesort_lcp,reversed,1600,9814,2728
string_mergesort_lcp,almost_sorted,1600,12907,2789
string_mergesort_lcp,random,1700,25828,3407
string_mergesort_lcp,reversed,1700,10419,2886
string_mergesort_lcp,almost_sorted,1700,13787,3075
string_mergesort_lcp,random,1800,27655,3860
string_mergesort_lcp,reversed,1800,11258,3174
string_mergesort_lcp,almost_sorted,1800,14769,3216
string_mergesort_lcp,random,1900,29534,3831
string_mergesort_lcp,reversed,1900,12176,3291
string_mergesort_lcp,almost_sorted,1900,15511,3387
string_mergesort_lcp,random,2000,31175,4050
string_mergesort_lcp,reversed,2000,12970,3475
string_mergesort_lcp,almost_sorted,2000,16090,3525
string_mergesort_lcp,random,2100,33205,4309
string_mergesort_lcp,reversed,2100,13629,3648
string_mergesort_lcp,almost_sorted,2100,16899,3733
string_mergesort_lcp,random,2200,34978,4511
string_mergesort_lcp,reversed,2200,14342,3836
string_mergesort_lcp,almost_sorted,2200,17863,3950
string_mergesort_lcp,random,2300,36848,4731
string_mergesort_lcp,reversed,2300,14577,4023
string_mergesort_lcp,almost_sorted,2300,19277,4149
string_mergesort_lcp,random,2400,38981,4994
string_mergesort_lcp,reversed,2400,14927,4250
string_mergesort_lcp,almost_sorted,2400,20203,4371
string_mergesort_lcp,random,2500,40611,5244
string_mergesort_lcp,reversed,2500,15628,4422
string_mergesort_lcp,almost_sorted,2500,21134,4591
string_mergesort_lcp,random,2600,42821,5464
string_mergesort_lcp,reversed,2600,16088,4607
string_mergesort_lcp,almost_sorted,2600,21771,4780
string_mergesort_lcp,random,2700,44592,5690
string_mergesort_lcp,reversed,2700,16841,4830
string_mergesort_lcp,almost_sorted,2700,23002,4973
string_mergesort_lcp,random,2800,46658,5960
string_mergesort_lcp,reversed,2800,17633,5007
string_mergesort_lcp,almost_sorted,2800,24089,5166
string_mergesort_lcp,random,2900,48510,6169
string_mergesort_lcp,reversed,2900,18212,5194
string_mergesort_lcp,almost_sorted,2900,24673,5383
string_mergesort_lcp,random,3000,50474,6413
string_mergesort_lcp,reversed,3000,18989,5429
string_mergesort_lcp,almost_sorted,3000,25720,5565
msd_radix,random,100,1090,252
msd_radix,reversed,100,496,150
msd_radix,almost_sorted,100,488,158
msd_radix,random,200,2134,441
msd_radix,reversed,200,972,278
msd_radix,almost_sorted,200,1132,276
msd_radix,random,300,2552,578
msd_radix,reversed,300,1448,412
msd_radix,almost_sorted,300,1776,445
msd_radix,random,400,2988,749
msd_radix,reversed,400,1924,548
msd_radix,almost_sorted,400,2346,589
msd_radix,random,500,3424,858
msd_radix,reversed,500,2422,709
msd_radix,almost_sorted,500,2816,710
msd_radix,random,600,3850,932
msd_radix,reversed,600,2906,855
msd_radix,almost_sorted,600,3268,834
msd_radix,random,700,4304,1034
msd_radix,reversed,700,3660,1028
msd_radix,almost_sorted,700,3858,978
msd_radix,random,800,4736,1099
msd_radix,reversed,800,4138,1155
msd_radix,almost_sorted,800,4396,1072
msd_radix,random,900,5186,1193
msd_radix,reversed,900,4760,1316
msd_radix,almost_sorted,900,4870,1209
msd_radix,random,1000,5620,1257
msd_radix,reversed,1000,5270,1447
msd_radix,almost_sorted,1000,5360,1381
msd_radix,random,1100,6064,1332
msd_radix,reversed,1100,5764,1601
msd_radix,almost_sorted,1100,5850,1533
msd_radix,random,1200,6524,1440
msd_radix,reversed,1200,6230,1725
msd_radix,almost_sorted,1200,6334,1663
msd_radix,random,1300,6982,1524
msd_radix,reversed,1300,6706,1854
